organizacion,rubro,subrubro,calle,numero,pais,provincia,ciudad,telefono,facebook,web,programa,fecha_distincion,fecha_revalidacion
San Ceferino Hotel & Spa,Alojamiento,Casa Rural,Ruta 6,Km 169500,Argentina,Buenos Aires,Luján,(0054) - 2323- 441500,,,ISO 9001:2000,2002-06-18,
El Rancho de Popy,Actividad recreativa y deportiva,Servicios recreativos y formativos,Ruta 226,Km 158,Argentina,Buenos Aires,Tandil,(0054) -2293- 444111,,,ISO 9001:2008,2005-01-18,
Concesionario del Área de Cataratas del Parque Nacional Iguazú,Concesionaria,Concesionaria,Coronel López y Avenida Mariano Moreno,S/N,Argentina,Misiones,Posadas,(0054) - 3757- 491469,,,ISO 9001:2008 / ISO 14001:2004,2005-11-10,
Concesionario del Área de Cataratas del Parque Nacional Iguazú,Concesionaria,Concesionaria,Casilla de Correo,24,Argentina,Misiones,Puerto Iguazú,(0054) 03757- 491670/469/474/476,,,ISO 9001:2008,2005-11-10,
Flecha Bus Viajes,Transporte turístico,Transporte Turístico,San Martín,280,Argentina,Río Negro,San Carlos de Bariloche,(0054) - 11 - 40005200,,,ISO 9001:2000,2005-11-15,
Flecha Bus Viajes,Transporte turístico,Transporte Turístico,Cassafousth,261,Argentina,Córdoba,Villa Carlos Paz,(0054) -11 - 40005201,,,ISO 9001:2000,2005-11-15,
Flecha Bus Viajes,Transporte turístico,Transporte Turístico,Suipacha,776,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(0054) -11 - 4393 0444,,,ISO 9001:2008,2005-11-15,
Consult House Travel,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Florida,621,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(0054 ) -11- 4315-1900,,,ISO 9001:2008,2006-02-21,
Balneario Villa San José,Balneario,Termas,Ruta 26,Km 2,Argentina,Entre Ríos,Villa San José,(0054) - 3447- 470761,,,IRAM 42100:2005,2006-12-19,
Ushuaia Outdoors,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Gobernador Godoy,51,Argentina,Tierra del Fuego,Ushuaia,,,,Programa de Excelencia en Gestión,2006-12-31,
Hotel Bristol,Alojamiento,Hotel 4 estrellas,Cerrito,286,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(011) 5252-6400,,,Programa de Excelencia en Gestión,2006-12-31,
Asociacion de Agencias de Viajes y Turismo de Buenos Aires,Asociación,Asociación,Viamonte,783,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(011) 5237-4040,,,Programa de Excelencia en Gestión,2006-12-31,
Top Dest,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Avenida Corrientes,753,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,,,,Programa de Excelencia en Gestión,2006-12-31,
Turismo Sat,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),San Luis,1819,Argentina,Buenos Aires,Mar del Plata,,,,Programa de Excelencia en Gestión,2006-12-31,
Argentina Visión Servicios Turísticos,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Avenida Julio A Roca,536,Argentina,Chubut,Puerto Madryn,(0280) 45-5888,,,Programa de Excelencia en Gestión,2006-12-31,
Nikant Tour,Agencia de Viajes,Empresa de Viajes y Turismo (EVT) Receptiva y emisiva,Avenida Colon,177,Argentina,Buenos Aires,Bahía Blanca,(0291) 0456-5402,,,Programa de Excelencia en Gestión,2006-12-31,
Rincón Club,Alojamiento,Hotel sin categorizar,Alicia Moreau de Justo,1930,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(011) 4590-7000,,,Programa de Excelencia en Gestión,2006-12-31,
Tije Travel,Agencia de Viajes,Empresa de Viajes y Turismo (EVT) Receptiva y emisiva,San Martín,640 y 601,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(011) 5272-8400,,,Programa de Excelencia en Gestión,2006-12-31,
Provincial Plaza Hotel,Alojamiento,Hotel sin categorizar,Caseros,786,Argentina,Salta,Salta,,,,Programa de Excelencia en Gestión,2006-12-31,
Movitrack,Empresas de servicios y espectáculos,Empresas de servicios y espectáculos,Caseros,468,Argentina,Salta,Salta,(0387) 431-6749,,,Programa de Excelencia en Gestión,2006-12-31,
Mirador del Lago Hotel,Alojamiento,Hotel sin categorizar,Avenida del Libertador,2047,Argentina,Santa Cruz,El Calafate,(02902) 49-3213,,,Programa de Excelencia en Gestión,2006-12-31,
Hotel del Dique,Alojamiento,Hotel 4 estrellas,Ruta 47,Km 12,Argentina,Salta,Coronel Moldes,(0387) 490-5112,,,Programa de Excelencia en Gestión,2006-12-31,
Hotel Aspen,Alojamiento,Hotel sin categorizar,Esmeralda,819,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,(011) 4313-3550,,,Programa de Excelencia en Gestión,2006-12-31,
Resort de Campo y Polo,Alojamiento,Estancia,Ruta 6 y Río Lujan,S/N,Argentina,Buenos Aires,Open Door,(2323) 49-6669,,,Programa de Excelencia en Gestión,2006-12-31,
Gran Hotel Paraná Yañez,Alojamiento,Hotel sin categorizar,Urquiza,976,Argentina,Entre Ríos,Paraná,(0343) 422-3900,,,Programa de Excelencia en Gestión,2006-12-31,
Cámara de Turismo Comercio E Industria de El Calafate,Cámara de Turismo,Cámara de Turismo,Avenida Roca,1366,Argentina,Santa Cruz,El Calafate,(2966) 49-1196,,,Programa de Excelencia en Gestión,2006-12-31,
Aymará Turismo,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),España,735,Argentina,Mendoza,Mendoza,(0054) - 261- 4202064,,,ISO 9001:2008,2007-01-29,
Conquistar Travel,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Carlos Pellegrini,1063,Argentina,Capital Federal,Ciudad Autónoma de Buenos Aires,"(0054) - 11- 4328-5334, 4322-4133",,,ISO 9001:2008,2007-03-20,
Jar Travel,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Crisostomo Alvarez,616-620,Argentina,Tucumán,San Miguel de Tucumán,,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel República,Alojamiento,Hotel sin categorizar,Rivadavia,71,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0481,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
1812 - Hotel Premier,Gastronomía,Restaurante,Crisóstomo Álvarez,510,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0381,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel Premier,Alojamiento,Hotel sin categorizar,Crisóstomo Álvarez,510,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0381,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Abba Tours,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Iturbe,698,Paraguay,,Asunción - Itauguá,(021) 496021,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel Carlos V,Alojamiento,Hotel sin categorizar,25 de Mayo,330,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-1666,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Museo Casa Histórica de la Independencia,Actividad Cultural,Museo,Congreso,141,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0826,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Yastay Viajes y Turismo,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Laprida,209,Argentina,Tucumán,San Miguel de Tucumán,(0381) 422-2211,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Acuarela Viajes,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Crisóstomo Álvarez,529,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-1502,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Turismo Eventos,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),9 de Julio,79,Argentina,Tucumán,San Miguel de Tucumán,(0381) 422-4990,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Patsa Turismo,Agencia de Viajes,Empresa de Viajes y Turismo (EVT),Chacabuco,38,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0490,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Pampayoj Cabalgatas,Actividad recreativa y deportiva,Cabalgatas,En Nahuen Turismo,S/N,Argentina,Tucumán,San Miguel de Tucumán,,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel Francia,Alojamiento,Hotel 3 estrellas,Crisóstomo Álvarez,467,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0781,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel Presidente,Alojamiento,Hotel sin categorizar,Monteagudo,249,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-1414,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
La Posta del Viajero,Alojamiento,Hostal,Chacabuco,362,Argentina,Tucumán,San Miguel de Tucumán,(0381) 422-4002,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel Mediterráneo,Alojamiento,Hotel sin categorizar,24 de Septiembre,364,Argentina,Tucumán,San Miguel de Tucumán,(0381) 431-0025,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Hotel Tucumán Center,Alojamiento,Hotel 4 estrellas,25 de Mayo,230,Argentina,Tucumán,San Miguel de Tucumán,(0381) 452-5555,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
Bar de Las Flores,Gastronomía,Restaurante,Terminal de Ómnibus- Brígido Terán,250,Argentina,Tucumán,San Miguel de Tucumán,(0381) 422-1257,,,Buenas Prácticas en Destinos,2007-05-07,2009-10-27
